geneID_human	geneID_mouse	humanMouseConnection	diseaseName	DO_ID	OMIM_ID	mouseStrain	mouseMGI_ID	mouseMP_ID	MPnames
14575	OXT	Oxt	n				Oxt<tm1.1(cre)Dolsn>,Oxt<tm1.1(cre)Gcho>,Oxt<tm1Ljm>,Oxt<tm1Wsy>,Oxt<tm1Zuk>,Oxt<tm2Ljm>,Oxt<tm3Ljm>	MGI:97453	MP:0005379 MP:0005375 MP:0010771 MP:0005378 MP:0005376 MP:0005386 MP:0005389 MP:0010768 MP:0005385 MP:0003631 MP:0005381	nervous system phenotype,adipose tissue phenotype,homeostasis/metabolism phenotype,growth/size/body region phenotype,endocrine/exocrine gland phenotype,digestive/alimentary phenotype,cardiovascular system phenotype,behavior/neurological phenotype,reproductive system phenotype,mortality/aging,integument phenotype
14576	OXTR	Oxtr	n				Oxtr<tm1.1(cre/GFP)Rpa>,Oxtr<tm1.1(cre)Hze>,Oxtr<tm1.1Knis>,Oxtr<tm1.1(KOMP)Vlcg>,Oxtr<tm1.1Wsy>,Oxtr<tm1.2Wsy>,Oxtr<tm1(cre/GFP)Rpa>,Oxtr<tm1Knis>,Oxtr<tm1(KOMP)Vlcg>,Oxtr<tm1Wsy>,Oxtr<tm2.1Knis>	MGI:109147	MP:0010771 MP:0005378 MP:0005379 MP:0005386 MP:0003631 MP:0005389 MP:0002873	normal phenotype,nervous system phenotype,growth/size/body region phenotype,endocrine/exocrine gland phenotype,behavior/neurological phenotype,reproductive system phenotype,integument phenotype
14577	P2RX1	P2rx1	n				P2rx1<tm1Chn>	MGI:1098235	MP:0005385 MP:0005389	cardiovascular system phenotype,reproductive system phenotype
14578	P2RX2	P2rx2	n				P2rx2<tm1Ckn>	MGI:2665170	MP:0005387 MP:0003631 MP:0005385 MP:0010768 MP:0005388	nervous system phenotype,cardiovascular system phenotype,immune system phenotype,respiratory system phenotype,mortality/aging
14579	P2RX3	P2rx3	n				P2rx3<tm1Ckn>,P2rx3<tm1Jwo>	MGI:1097160	MP:0010771 MP:0005386 MP:0005388 MP:0005387 MP:0003631 MP:0010768 MP:0005385	nervous system phenotype,cardiovascular system phenotype,behavior/neurological phenotype,immune system phenotype,respiratory system phenotype,mortality/aging,integument phenotype
14580	P2RX4	P2rx4	n				P2rx4<Gt(OST340739)Lex>,P2rx4<tm1.1Ngc>,P2rx4<tm1a(EUCOMM)Wtsi>,P2rx4<tm1Ando>,P2rx4<tm1b(EUCOMM)Wtsi>,P2rx4<tm1c(EUCOMM)Wtsi>,P2rx4<tm1Dgen>,P2rx4<tm1Rass>	MGI:1338859	MP:0005369 MP:0005376 MP:0005397 MP:0005385 MP:0003631 MP:0005390 MP:0005367 MP:0005387	nervous system phenotype,renal/urinary system phenotype,muscle phenotype,homeostasis/metabolism phenotype,cardiovascular system phenotype,immune system phenotype,skeleton phenotype,hematopoietic system phenotype
14581	P2RX5	P2rx5	n				P2rx5<tm1a(EUCOMM)Hmgu>,P2rx5<tm1b(EUCOMM)Hmgu>,P2rx5<tm1Lex>	MGI:2137026	MP:0005387 MP:0005397 MP:0005386	behavior/neurological phenotype,immune system phenotype,hematopoietic system phenotype
14582	P2RX6	P2rx6	n				P2rx6<tm1Dgen>,P2rx6<tm1Lex>,P2rx6<tm2a(EUCOMM)Wtsi>,P2rx6<tm2b(EUCOMM)Wtsi>	MGI:1337113	MP:0005376 MP:0010771 MP:0005386 MP:0003631	nervous system phenotype,homeostasis/metabolism phenotype,behavior/neurological phenotype,integument phenotype
14583	P2RX7	P2rx7	n				P2rx7<P451L>,P2rx7<tm1a(EUCOMM)Wtsi>,P2rx7<tm1b(EUCOMM)Wtsi>,P2rx7<tm1Blo>,P2rx7<tm1Gab>,P2rx7<tm1Ipch>,P2rx7<tm1Lex>	MGI:1339957	MP:0005386 MP:0005397 MP:0005371 MP:0005390 MP:0005387 MP:0005376 MP:0005384 MP:0005378 MP:0010771	limbs/digits/tail phenotype,homeostasis/metabolism phenotype,growth/size/body region phenotype,cellular phenotype,behavior/neurological phenotype,immune system phenotype,skeleton phenotype,hematopoietic system phenotype,integument phenotype
14584	P2RY1	P2ry1	n				P2ry1<tm1.1(cre)Lbrl>,P2ry1<tm1Bhk>,P2ry1<tm1Gac>,P2ry1<tm1(KOMP)Vlcg>,P2ry1<tm1Lex>	MGI:105049	MP:0005376 MP:0005397	homeostasis/metabolism phenotype,hematopoietic system phenotype
14585	P2RY10	P2ry10	n				P2ry10<m1Anu>	MGI:1926076		
14586	P2RY12	P2ry12	y	platelet-type bleeding disorder 8	DOID:0060692	OMIM:609821	P2ry12<tm1Cjf>,P2ry12<tm1Dgen>,P2ry12<tm1(KOMP)Vlcg>,P2ry12<tm1Pcon>	MGI:1918089	MP:0005376 MP:0002873 MP:0005397	normal phenotype,homeostasis/metabolism phenotype,hematopoietic system phenotype
14587	P2RY13	P2ry13	n				P2ry13<tm1.1(KOMP)Vlcg>,P2ry13<tm1Dgen>,P2ry13<tm1(KOMP)Vlcg>,P2ry13<tm1Loma>	MGI:1921441	MP:0005384 MP:0005376 MP:0005390 MP:0005381 MP:0005370	liver/biliary system phenotype,homeostasis/metabolism phenotype,digestive/alimentary phenotype,cellular phenotype,skeleton phenotype
14588	P2RY14	P2ry14	n				P2ry14<em1(IMPC)H>,P2ry14<em2(IMPC)H>,P2ry14<tm1.1Gac>,P2ry14<tm1.1Shbg>,P2ry14<tm1Gac>,P2ry14<tm1Gbtm>	MGI:2155705	MP:0005387 MP:0005381 MP:0005385 MP:0005397 MP:0005388 MP:0005376 MP:0005369 MP:0005379 MP:0005378	muscle phenotype,homeostasis/metabolism phenotype,growth/size/body region phenotype,endocrine/exocrine gland phenotype,digestive/alimentary phenotype,cardiovascular system phenotype,immune system phenotype,respiratory system phenotype,hematopoietic system phenotype
14589	P2RY2	P2ry2	n				P2ry2<tm1a(EUCOMM)Hmgu>,P2ry2<tm1Bhk>,P2ry2<tm1c(EUCOMM)Hmgu>	MGI:105107	MP:0003631 MP:0005385 MP:0005369 MP:0005384 MP:0005376	nervous system phenotype,muscle phenotype,homeostasis/metabolism phenotype,cellular phenotype,cardiovascular system phenotype
14590	P2RY4	P2ry4	n				P2ry4<tm1Brob>,P2ry4<tm1Lex>	MGI:1926594	MP:0005381 MP:0010768	digestive/alimentary phenotype,mortality/aging
14591	P2RY6	P2ry6	n				P2ry6<tm1.1Brob>,P2ry6<tm1Bms>,P2ry6<tm1Brob>,P2ry6<tm1Jabo>,P2ry6<tm1(KOMP)Vlcg>	MGI:2673874	MP:0005369 MP:0005384 MP:0005388 MP:0005397 MP:0005385 MP:0005387	muscle phenotype,cellular phenotype,cardiovascular system phenotype,immune system phenotype,respiratory system phenotype,hematopoietic system phenotype
14592	P3H1	P3h1	y	osteogenesis imperfecta type 8	DOID:0110336	OMIM:610915	P3h1<Gt(OST453890)Lex>,P3h1<tm1.1Brle>,P3h1<tm1b(EUCOMM)Wtsi>,P3h1<tm1Dgen>	MGI:1888921	MP:0005369 MP:0005375 MP:0010771 MP:0005378 MP:0005377 MP:0005371 MP:0005390 MP:0005386	muscle phenotype,limbs/digits/tail phenotype,adipose tissue phenotype,hearing/vestibular/ear phenotype,growth/size/body region phenotype,behavior/neurological phenotype,skeleton phenotype,integument phenotype
14593	P3H2	P3h2	n				P3h2<tm1a(KOMP)Wtsi>,P3h2<tm1c(KOMP)Wtsi>,P3h2<tm1d(KOMP)Wtsi>,P3h2<tm1Hpb>	MGI:2146663	MP:0010768 MP:0005376	homeostasis/metabolism phenotype,mortality/aging
14594	P3H3	P3h3	n				P3h3<tm1.1(KOMP)Vlcg>,P3h3<tm1(KOMP)Vlcg>	MGI:1315208	MP:0010771	integument phenotype
14595	P3H4	P3h4	n				P3h4<tm1.1Rmr>,P3h4<tm1.2Rmr>	MGI:1913430	MP:0005369 MP:0010771 MP:0005390	muscle phenotype,skeleton phenotype,integument phenotype
14596	P4HA1	P4ha1	n				P4ha1<Gt(OST278548)Lex>,P4ha1<tm1Jomy>	MGI:97463	MP:0005384 MP:0010771 MP:0010768 MP:0005378 MP:0005385 MP:0005371 MP:0005380	limbs/digits/tail phenotype,growth/size/body region phenotype,embryo phenotype,cellular phenotype,cardiovascular system phenotype,mortality/aging,integument phenotype
14597	P4HA2	P4ha2	n				P4ha2<tm1Jomy>,P4ha2<tm1Lex>	MGI:894286		
14598	P4HA3	P4ha3	n				P4ha3<Gt(OST60544)Lex>	MGI:2444049		
14599	P4HB	P4hb	n				P4hb<Gt(Ayu21-W494)Imeg>,P4hb<tm1.1Geno>,P4hb<tm1.2Geno>,P4hb<tm1a(KOMP)Wtsi>,P4hb<tm1b(KOMP)Wtsi>	MGI:97464	MP:0010768 MP:0005397 MP:0005387	immune system phenotype,hematopoietic system phenotype,mortality/aging
14600	P4HTM	P4htm	n				P4htm<Gt(OST442489)Lex>,P4htm<tm1Jomy>	MGI:1921693	MP:0005376 MP:0005397 MP:0005391 MP:0005367	renal/urinary system phenotype,homeostasis/metabolism phenotype,vision/eye phenotype,hematopoietic system phenotype
14601	PA2G4	Pa2g4	n				Pa2g4<Gt(OST186047)Lex>,Pa2g4<tm1a(EUCOMM)Wtsi>	MGI:894684	MP:0005378 MP:0005384 MP:0005397 MP:0005389 MP:0005371	limbs/digits/tail phenotype,growth/size/body region phenotype,cellular phenotype,reproductive system phenotype,hematopoietic system phenotype
14602	PABPC1	Pabpc1	n				Pabpc1<tm1.1Rbd>,Pabpc1<tm1.2Rbd>	MGI:1349722		
14603	PABPC1L	Pabpc1l	n				Pabpc1l<tm1.1Esel>,Pabpc1l<tm1a(EUCOMM)Wtsi>	MGI:1922908	MP:0005384 MP:0005379 MP:0005397 MP:0005389	endocrine/exocrine gland phenotype,cellular phenotype,reproductive system phenotype,hematopoietic system phenotype
14604	PABPC1L2A	Pabpc1l2b-ps	n					MGI:3644774		
14605	PABPC4	Pabpc4	n				Pabpc4<tm1a(KOMP)Wtsi>,Pabpc4<tm1e(KOMP)Wtsi>	MGI:2385206	MP:0005390 MP:0005376	homeostasis/metabolism phenotype,skeleton phenotype
14606	PABPC4L	Pabpc4l	n					MGI:3643087		
14607	PABPC5	Pabpc5	n					MGI:2136401		
14608	PABPN1	Pabpn1	y	oculopharyngeal muscular dystrophy	DOID:11719	OMIM:164300	Pabpn1<tm1.1Gpvl>,Pabpn1<tm1.2Gpvl>,Pabpn1<tm2.1Gpvl>,Pabpn1<tm2.2Gpvl>	MGI:1859158	MP:0005369 MP:0005376 MP:0005384 MP:0005386 MP:0010768	muscle phenotype,homeostasis/metabolism phenotype,cellular phenotype,behavior/neurological phenotype,mortality/aging
14609	PABPN1L	Pabpn1l	n				Pabpn1l<tm1a(EUCOMM)Wtsi>	MGI:2685954	MP:0005389	reproductive system phenotype
14610	PACRG	Pacrg	n				Pacrg<em1(IMPC)J>	MGI:1916560		
14611	PACRGL	Pacrgl	n					MGI:1914018		
14612	PACS1	Pacs1	n					MGI:1277113		
14613	PACS2	Pacs2	n				Pacs2<Gt(OST426086)Lex>,Pacs2<tm1a(EUCOMM)Hmgu>	MGI:1924399	MP:0005386 MP:0005371 MP:0005390 MP:0005376 MP:0005384	limbs/digits/tail phenotype,homeostasis/metabolism phenotype,cellular phenotype,behavior/neurological phenotype,skeleton phenotype
14614	PACSIN1	Pacsin1	n				Pacsin1<Gt(OST277561)Lex>,Pacsin1<Gt(OST287788)Lex>,Pacsin1<tm1.1Bqu>,Pacsin1<tm1Bqu>	MGI:1345181	MP:0005387 MP:0005391 MP:0003631 MP:0005389 MP:0005386 MP:0005384 MP:0005376 MP:0005378	nervous system phenotype,homeostasis/metabolism phenotype,growth/size/body region phenotype,cellular phenotype,behavior/neurological phenotype,immune system phenotype,reproductive system phenotype,vision/eye phenotype
14615	PACSIN2	Pacsin2	n				Pacsin2<tm1b(EUCOMM)Hmgu>	MGI:1345153	MP:0005376 MP:0005377 MP:0010768 MP:0005397 MP:0005385	homeostasis/metabolism phenotype,hearing/vestibular/ear phenotype,cardiovascular system phenotype,hematopoietic system phenotype,mortality/aging
14616	PACSIN3	Pacsin3	n				Pacsin3<tm1a(EUCOMM)Wtsi>	MGI:1891410	MP:0010771 MP:0005397 MP:0005390	skeleton phenotype,hematopoietic system phenotype,integument phenotype
14617	PADI1	Padi1	n				Padi1<Gt(OST22660)Lex>	MGI:1338893		
14618	PADI2	Padi2	n				Padi2<tm1a(KOMP)Wtsi>,Padi2<tm1b(KOMP)Wtsi>,Padi2<tm1Lex>	MGI:1338892	MP:0005387 MP:0005397 MP:0010768	immune system phenotype,hematopoietic system phenotype,mortality/aging
14619	PADI3	Padi3	n				Padi3<tm1a(KOMP)Wtsi>,Padi3<tm1b(KOMP)Wtsi>,Padi3<tm1Lex>	MGI:1338891	MP:0010771	integument phenotype
14620	PADI4	Padi4	n				Padi4<Gt(OST327799)Lex>,Padi4<tm1.1Kmow>,Padi4<tm1.1Ywan>,Padi4<tm1.2Kmow>,Padi4<tm1Koma>,Padi4<tm1Ywan>	MGI:1338898	MP:0005387 MP:0002873 MP:0010768 MP:0005378 MP:0005397	normal phenotype,growth/size/body region phenotype,immune system phenotype,hematopoietic system phenotype,mortality/aging
14621	PADI6	Padi6	n				Padi6<tm1.1Jgo>,Padi6<tm1a(KOMP)Wtsi>,Padi6<tm1b(KOMP)Wtsi>,Padi6<tm1Jgo>	MGI:2655198	MP:0005380 MP:0005389	embryo phenotype,reproductive system phenotype
14622	PAF1	Paf1	n				Paf1<em1(IMPC)J>	MGI:1923988		
14623	PAFAH1B1	Pafah1b1	y	lissencephaly	DOID:0050453	OMIM:300067;OMIM:300215;OMIM:607432;OMIM:611603;OMIM:614019;OMIM:615191	Pafah1b1<Gt(IRESBetageo)1Hha>,Pafah1b1<tm1Awb>,Pafah1b1<tm1c(EUCOMM)Hmgu>,Pafah1b1<tm1Or>,Pafah1b1<tm2.2Awb>,Pafah1b1<tm2Awb>	MGI:109520	MP:0005378 MP:0005379 MP:0005384 MP:0005380 MP:0005386 MP:0005389 MP:0010768 MP:0003631	nervous system phenotype,growth/size/body region phenotype,endocrine/exocrine gland phenotype,embryo phenotype,cellular phenotype,behavior/neurological phenotype,reproductive system phenotype,mortality/aging
14624	PAFAH1B2	Pafah1b2	n				Pafah1b2<Gt(Betageo)1Cla>,Pafah1b2<Gt(OST281987)Lex>,Pafah1b2<tm1Arai>	MGI:108415	MP:0005379 MP:0005384 MP:0005389	endocrine/exocrine gland phenotype,cellular phenotype,reproductive system phenotype
14625	PAFAH1B3	Pafah1b3	n				Pafah1b3<tm1Arai>,Pafah1b3<tm1Cla>	MGI:108414	MP:0005384 MP:0005379 MP:0002873 MP:0005389	normal phenotype,endocrine/exocrine gland phenotype,cellular phenotype,reproductive system phenotype
14626	PAFAH2	Pafah2	n				Pafah2<Gt(OST183308)Lex>,Pafah2<tm1Arai>	MGI:2140321	MP:0005370 MP:0005384 MP:0005376	liver/biliary system phenotype,homeostasis/metabolism phenotype,cellular phenotype
14627	PAG1	Pag1	n				Pag1<tm1.1Tara>,Pag1<tm1Kplm>,Pag1<tm1Sbln>,Pag1<tm1Tara>	MGI:2443160	MP:0005387 MP:0005397 MP:0002873 MP:0005379	normal phenotype,endocrine/exocrine gland phenotype,immune system phenotype,hematopoietic system phenotype
14628	PAGR1	Pagr1a	n				Pagr1a<tm1Kaig>,Pagr1a<tm1(KOMP)Vlcg>	MGI:1914528		
14629	PAH	Pah	y	phenylketonuria	DOID:9281	OMIM:261600	Pah<em1(IMPC)Tcp>,Pah<enu1>,Pah<enu2>,Pah<enu3>,Pah<m1Btlr>	MGI:97473	MP:0005376 MP:0005378 MP:0005389 MP:0010771 MP:0005391 MP:0003631 MP:0005367 MP:0005386 MP:0001186	pigmentation phenotype,nervous system phenotype,renal/urinary system phenotype,homeostasis/metabolism phenotype,growth/size/body region phenotype,behavior/neurological phenotype,reproductive system phenotype,vision/eye phenotype,integument phenotype
14630	PAICS	Paics	n				Paics<em1(IMPC)Mbp>	MGI:1914304		
14631	PAIP1	Paip1	n					MGI:2384993		
14632	PAIP2	Paip2	n				Paip2<tm1.1Nso>,Paip2<tm1.2Nso>	MGI:1915119	MP:0005378 MP:0005379 MP:0005384 MP:0005389	growth/size/body region phenotype,endocrine/exocrine gland phenotype,cellular phenotype,reproductive system phenotype
14633	PAIP2B	Paip2b	n				Paip2b<tm1.1Nso>,Paip2b<tm1.2Nso>	MGI:2386865	MP:0005384 MP:0005379 MP:0005378 MP:0005389	growth/size/body region phenotype,endocrine/exocrine gland phenotype,cellular phenotype,reproductive system phenotype
14634	PAK1	Pak1	n				Pak1<tm1.1Xwg>,Pak1<tm1a(EUCOMM)Hmgu>,Pak1<tm1b(EUCOMM)Hmgu>,Pak1<tm1c(EUCOMM)Hmgu>,Pak1<tm1Cher>,Pak1<tm1Zpj>	MGI:1339975	MP:0005378 MP:0005384 MP:0005376 MP:0005369 MP:0002873 MP:0005397 MP:0005385 MP:0005388 MP:0005387 MP:0005390 MP:0003631	normal phenotype,nervous system phenotype,muscle phenotype,homeostasis/metabolism phenotype,growth/size/body region phenotype,cellular phenotype,cardiovascular system phenotype,immune system phenotype,respiratory system phenotype,skeleton phenotype,hematopoietic system phenotype
14635	PAK1IP1	Pak1ip1	n				Pak1ip1<em1(IMPC)Tcp>,Pak1ip1<mray>	MGI:1915333	MP:0005378 MP:0010771 MP:0005376 MP:0005384 MP:0005369 MP:0005382 MP:0010768 MP:0005388 MP:0005390 MP:0005381 MP:0003631	nervous system phenotype,muscle phenotype,homeostasis/metabolism phenotype,growth/size/body region phenotype,digestive/alimentary phenotype,craniofacial phenotype,cellular phenotype,respiratory system phenotype,skeleton phenotype,mortality/aging,integument phenotype
14636	PAK2	Pak2	n				Pak2<em1(IMPC)H>,Pak2<Gt(OST104058)Lex>,Pak2<tm1.1Cher>,Pak2<tm1.1Rjak>,Pak2<tm1Dgen>,Pak2<tm1Rjak>	MGI:1339984	MP:0005384 MP:0005378 MP:0005380 MP:0003631 MP:0005397 MP:0010768	nervous system phenotype,growth/size/body region phenotype,embryo phenotype,cellular phenotype,hematopoietic system phenotype,mortality/aging
14637	PAK3	Pak3	n				Pak3<tm1a(EUCOMM)Hmgu>,Pak3<tm1Lex>,Pak3<tm1Zpj>	MGI:1339656	MP:0003631 MP:0005386	nervous system phenotype,behavior/neurological phenotype
14638	PAK4	Pak4	n				Pak4<Gt(OST288882)Lex>,Pak4<m1R>,Pak4<tm1Amin>,Pak4<tm2.1Amin>,Pak4<tm2.2Amin>	MGI:1917834	MP:0005384 MP:0005378 MP:0010771 MP:0003631 MP:0005385 MP:0010768 MP:0005380	nervous system phenotype,growth/size/body region phenotype,embryo phenotype,cellular phenotype,cardiovascular system phenotype,mortality/aging,integument phenotype
14639	PAK5	Pak7	n				Pak7<em1(IMPC)Mbp>,Pak7<tm1Amin>	MGI:1920334	MP:0003631 MP:0005386	nervous system phenotype,behavior/neurological phenotype
14640	PAK6	Pak6	n				Pak6<tm1Amin>	MGI:2679420	MP:0003631 MP:0005386 MP:0002873	normal phenotype,nervous system phenotype,behavior/neurological phenotype
14641	PALB2	Palb2	n				Palb2<Gt(CG0691)Wtsi>,Palb2<tm1.1Dli>,Palb2<tm1.1(KOMP)Vlcg>,Palb2<tm1.2Dli>,Palb2<tm1(KOMP)Vlcg>	MGI:3040695	MP:0010771 MP:0005378 MP:0005384 MP:0005386 MP:0005380 MP:0002006 MP:0010768 MP:0005385 MP:0005371 MP:0003631	neoplasm,nervous system phenotype,limbs/digits/tail phenotype,growth/size/body region phenotype,embryo phenotype,cellular phenotype,cardiovascular system phenotype,behavior/neurological phenotype,mortality/aging,integument phenotype
14642	PALD1	Pald1	n				Pald1<em1(IMPC)Kmpc>,Pald1<em1Krb>,Pald1<Gt(OST248778)Lex>,Pald1<tm1Vlcg>	MGI:1351623		
14643	PALLD	Palld	n				Palld<tm1Zgwg>	MGI:1919583	MP:0010768 MP:0005380 MP:0003631 MP:0005384	nervous system phenotype,embryo phenotype,cellular phenotype,mortality/aging
14644	PALM	Palm	n				Palm<em1(IMPC)Wtsi>	MGI:1261814		
14645	PALM2	Palm2	n				Palm2<em1(IMPC)J>	MGI:1934601		
14646	PALM3	Palm3	n				Palm3<tm1a(EUCOMM)Wtsi>,Palm3<tm1b(EUCOMM)Wtsi>	MGI:1921587		
14647	PALMD	Palmd	n				Palmd<em1(IMPC)J>	MGI:2148896		
14648	PAM	Pam	n				Pam<tm1Jep>	MGI:97475	MP:0005375 MP:0005378 MP:0005376 MP:0005385 MP:0010768 MP:0005388 MP:0005380	adipose tissue phenotype,homeostasis/metabolism phenotype,growth/size/body region phenotype,embryo phenotype,cardiovascular system phenotype,respiratory system phenotype,mortality/aging
14649	PAM16	Pam16	n				Pam16<tm1a(EUCOMM)Wtsi>,Pam16<tm1b(EUCOMM)Wtsi>	MGI:1913699	MP:0010768	mortality/aging
14650	PAMR1	Pamr1	n				Pamr1<tm1Lex>	MGI:2445082		
14651	PAN2	Pan2	n				Pan2<m1Anu>,Pan2<tm1b(KOMP)Wtsi>	MGI:1918984	MP:0010768	mortality/aging
14652	PAN3	Pan3	n				Pan3<Gt(BGB533)Byg>,Pan3<Gt(OST65480)Lex>	MGI:1919837		
14653	PANK1	Pank1	n				Pank1<Gt(OST90765)Lex>,Pank1<tm1.1Suja>	MGI:1922985	MP:0005378 MP:0005369 MP:0005376 MP:0005387 MP:0005384 MP:0005386 MP:0005370 MP:0005397 MP:0010768 MP:0005367	renal/urinary system phenotype,muscle phenotype,liver/biliary system phenotype,homeostasis/metabolism phenotype,growth/size/body region phenotype,cellular phenotype,behavior/neurological phenotype,immune system phenotype,hematopoietic system phenotype,mortality/aging
14654	PANK2	Pank2	n				Pank2<tm1.1Suja>,Pank2<tm1Jgt>	MGI:1921700	MP:0005367 MP:0005387 MP:0005391 MP:0003631 MP:0005389 MP:0010768 MP:0005397 MP:0005370 MP:0005386 MP:0005384 MP:0005376 MP:0005369 MP:0005379 MP:0005378	nervous system phenotype,renal/urinary system phenotype,muscle phenotype,liver/biliary system phenotype,homeostasis/metabolism phenotype,growth/size/body region phenotype,endocrine/exocrine gland phenotype,cellular phenotype,behavior/neurological phenotype,immune system phenotype,reproductive system phenotype,vision/eye phenotype,hematopoietic system phenotype,mortality/aging
14655	PANK3	Pank3	n				Pank3<Gt(OST314622)Lex>,Pank3<Gt(XE030)Byg>,Pank3<Gt(XE134)Byg>,Pank3<tm1.1Suja>,Pank3<tm1b(KOMP)Mbp>	MGI:2387464	MP:0010768	mortality/aging
14656	PANK4	Pank4	n				Pank4<Gt(XB396)Byg>	MGI:2387466		
14657	PANX1	Panx1	n				Panx1<tm1.1Fama>,Panx1<tm1.1Vshe>,Panx1<tm1.2Vmd>,Panx1<tm1a(KOMP)Wtsi>,Panx1<tm1b(KOMP)Wtsi>,Panx1<tm1c(KOMP)Wtsi>,Panx1<tm1d(KOMP)Wtsi>,Panx1<tm1Vshe>	MGI:1860055	MP:0005376 MP:0005384 MP:0003631 MP:0005391 MP:0005387 MP:0005386 MP:0005388 MP:0005397	nervous system phenotype,homeostasis/metabolism phenotype,cellular phenotype,behavior/neurological phenotype,immune system phenotype,respiratory system phenotype,vision/eye phenotype,hematopoietic system phenotype
14658	PANX2	Panx2	n				Panx2<tm1.1Mony>,Panx2<tm1a(KOMP)Wtsi>,Panx2<tm1b(KOMP)Wtsi>	MGI:1890615	MP:0005376 MP:0005390 MP:0005371 MP:0003631	nervous system phenotype,limbs/digits/tail phenotype,homeostasis/metabolism phenotype,skeleton phenotype
14659	PANX3	Panx3	n				Panx3<tm1a(KOMP)Wtsi>,Panx3<tm1b(KOMP)Wtsi>,Panx3<tm1c(KOMP)Wtsi>,Panx3<tm1d(KOMP)Wtsi>	MGI:1918881	MP:0005390 MP:0005387 MP:0005389 MP:0005385 MP:0005376	homeostasis/metabolism phenotype,cardiovascular system phenotype,immune system phenotype,reproductive system phenotype,skeleton phenotype
14660	PAOX	Paox	n				Paox<tm1.1(KOMP)Wtsi>,Paox<tm1(KOMP)Wtsi>	MGI:1916983		
14661	PAPLN	Papln	n				Papln<tm1b(KOMP)Wtsi>,Papln<tm1Lex>	MGI:2386139	MP:0005376	homeostasis/metabolism phenotype
14662	PAPOLA	Papola	n					MGI:109301		
14663	PAPOLB	Papolb	n				Papolb<tm1.1(KOMP)Vlcg>,Papolb<tm1(KOMP)Vlcg>,Papolb<tm1Tba>	MGI:1932115	MP:0005384 MP:0005379 MP:0005389	endocrine/exocrine gland phenotype,cellular phenotype,reproductive system phenotype
14664	PAPOLG	Papolg	n				Papolg<Gt(OST363866)Lex>	MGI:2442119		
14665	PAPPA	Pappa	n				Pappa<tm1Cac>,Pappa<tm1Lex>	MGI:97479	MP:0005378 MP:0005390 MP:0005376 MP:0005385 MP:0002873	normal phenotype,homeostasis/metabolism phenotype,growth/size/body region phenotype,cardiovascular system phenotype,skeleton phenotype
14666	PAPPA2	Pappa2	n				Pappa2<M1Btlr>,Pappa2<M2Btlr>,Pappa2<m3Btlr>,Pappa2<tm1.1Jkcs>,Pappa2<tm1Lex>	MGI:3051647	MP:0005382 MP:0005378 MP:0003631 MP:0005371 MP:0005387 MP:0005390 MP:0005370 MP:0005397 MP:0005385	nervous system phenotype,liver/biliary system phenotype,limbs/digits/tail phenotype,growth/size/body region phenotype,craniofacial phenotype,cardiovascular system phenotype,immune system phenotype,skeleton phenotype,hematopoietic system phenotype
14667	PAPSS1	Papss1	n					MGI:1330587		
14668	PAPSS2	Papss2	y	spondyloepimetaphyseal dysplasia, Pakistani type	DOID:0050812	OMIM:612847	Papss2<bm>	MGI:1330223	MP:0005371 MP:0005381 MP:0005390 MP:0005387 MP:0010768 MP:0005378 MP:0005382 MP:0005376	limbs/digits/tail phenotype,homeostasis/metabolism phenotype,growth/size/body region phenotype,digestive/alimentary phenotype,craniofacial phenotype,immune system phenotype,skeleton phenotype,mortality/aging
14669	PAQR3	Paqr3	n				Paqr3<tm1a(KOMP)Wtsi>,Paqr3<tm1Ychn>	MGI:2679683	MP:0005384 MP:0005376 MP:0010771 MP:0002006	neoplasm,homeostasis/metabolism phenotype,cellular phenotype,integument phenotype
14670	PAQR4	Paqr4	n					MGI:1923748		
14671	PAQR5	Paqr5	n					MGI:1921340		
14672	PAQR6	Paqr6	n				Paqr6<tm1b(KOMP)Wtsi>	MGI:1916207	MP:0005385	cardiovascular system phenotype
14673	PAQR7	Paqr7	n				Paqr7<Gt(OST441014)Lex>,Paqr7<tm1a(KOMP)Wtsi>,Paqr7<tm1b(KOMP)Wtsi>	MGI:1919154		
14674	PAQR8	Paqr8	n				Paqr8<em1(IMPC)Mbp>	MGI:1921479		
14675	PAQR9	Paqr9	n					MGI:1922802		
14676	PARAL1	Paral1	n					MGI:2677839		
14677	PARD3	Pard3	n				Pard3<tm1.1Shoh>,Pard3<tm1a(KOMP)Wtsi>,Pard3<tm1b(KOMP)Wtsi>,Pard3<tm1Shoh>	MGI:2135608	MP:0005380 MP:0010768 MP:0005397 MP:0005385 MP:0005391 MP:0005371 MP:0003631 MP:0005387 MP:0005376 MP:0005378	nervous system phenotype,limbs/digits/tail phenotype,homeostasis/metabolism phenotype,growth/size/body region phenotype,embryo phenotype,cardiovascular system phenotype,immune system phenotype,vision/eye phenotype,hematopoietic system phenotype,mortality/aging
14678	PARD3B	Pard3b	n				Pard3b<tm1a(EUCOMM)Wtsi>,Pard3b<tm1b(EUCOMM)Wtsi>	MGI:1919301	MP:0005386 MP:0005385	cardiovascular system phenotype,behavior/neurological phenotype
